country,christian_pct,muslim_pct,hindu_pct,buddhist_pct,jewish_pct,other_religion_pct,nonreligious_pct,beef_kg_capita,pork_kg_capita,chicken_kg_capita,fish_kg_capita,lamb_kg_capita,gdp_per_capita,urbanization_pct
Ethiopia,63,34,0,0,0,3,0,5.0,0.5,4.0,4.0,5.0,950,22
Afghanistan,1,99,0,0,0,0,0,5.0,0.0,5.0,1.0,10.0,500,26
Nepal,3,4,82,8,1,2,0,4.0,2.5,3.0,4.0,2.0,1200,21
Bolivia,90,1,1,0,0,8,0,11.0,6.0,18.0,4.0,3.0,3600,71
Cambodia,2,2,1,95,0,0,0,6.0,6.0,10.0,16.0,1.0,1700,25
Laos,2,2,1,65,0,30,0,6.0,7.0,11.0,14.0,1.0,2700,37
Myanmar,4,4,1,88,0,3,0,4.0,4.0,9.0,17.0,1.0,1200,31
Mozambique,55,18,0,0,0,27,0,3.0,2.0,5.0,7.0,2.0,500,37
Zambia,95,1,0,0,0,4,0,4.0,2.0,7.0,5.0,1.0,1300,45
Iran,1,98,0,0,0,1,0,8.0,0.0,25.0,6.0,8.0,5600,76
Sudan,3,97,0,0,0,0,0,5.0,0.0,6.0,3.0,10.0,700,35
Syria,10,87,0,0,0,3,0,5.0,0.5,18.0,5.0,9.0,1500,55
Cuba,58,1,1,1,1,10,28,14.0,7.0,18.0,8.0,1.0,8900,77
North Korea,2,1,0,14,0,83,0,3.0,6.0,6.0,8.0,1.0,600,63
Algeria,1,99,0,0,0,0,0,9.0,0.0,15.0,6.0,12.0,4200,74
Libya,3,97,0,0,0,0,0,8.0,0.0,13.0,5.0,11.0,7400,80
Yemen,1,99,0,0,0,0,0,6.0,0.0,10.0,5.0,11.0,1100,37
Eritrea,50,48,0,0,0,2,0,3.0,0.0,4.0,4.0,4.0,700,41
Bhutan,3,5,22,70,0,0,0,4.0,2.0,4.0,6.0,2.0,3500,44
Timor-Leste,97,2,0,0,0,1,0,5.0,4.0,8.0,12.0,1.0,2000,32
